height,weight,age,isManOfTheMatch,isActive,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonName,isOpta,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking,originCountry
172,66,22,False,True,Spain,37,0,1,1,5,0.8108108108108101,1.486486486486486,Marc Cucurella,Marc,Cucurella,363496,Midfielder,819,Getafe,2019/2020,True,Spain,LaLiga,6.824594594594595,3250,9,0,67.85079928952042,77,Spain
181,83,30,False,True,Spain,23,2,0,3,0,0.347826086956521,2.913043478260869,Pedro Bigas,Pedro,Bigas,108100,Defender,824,Eibar,2019/2020,True,Spain,LaLiga,6.82391304347826,1779,2,0,67.88321167883211,78,Spain
170,70,27,False,False,Spain,26,4,2,1,2,0.884615384615384,0.846153846153846,Kévin Rodrigues,Kévin Manuel,Rodrigues,114170,Defender,825,Leganes,2019/2020,True,Spain,LaLiga,6.821538461538462,1934,4,1,73.16636851520573,79,Portugal
181,79,22,False,True,Spain,33,1,0,3,6,0.7878787878787871,1.969696969696969,Emerson,Emerson Aparecido,Leite de Souza Junior,328512,Defender,54,Real Betis,2019/2020,True,Spain,LaLiga,6.819999999999999,2841,11,0,79.05138339920948,80,Brazil
190,79,27,False,False,Spain,26,2,1,0,2,0.461538461538461,3.192307692307692,Okay Yokuslu,Okay,Yokuslu,93805,Midfielder,62,Celta Vigo,2019/2020,True,Spain,LaLiga,6.818461538461538,1979,6,0,81.28544423440454,81,Turkey
185,80,26,False,True,Spain,21,2,1,0,0,0.5238095238095231,2.619047619047619,José Giménez,José,Giménez,135914,Defender,63,Atletico,2019/2020,True,Spain,LaLiga,6.815714285714286,1753,2,0,85.66739606126916,82,Uruguay
176,70,28,False,True,Spain,30,1,0,0,2,0.23333333333333303,2.533333333333333,Joseba Zaldua,Joseba,Zaldua,135911,Defender,68,Real Sociedad,2019/2020,True,Spain,LaLiga,6.8146666666666675,2551,6,1,77.28813559322035,83,Spain
174,67,22,False,False,Spain,30,8,4,9,2,2.066666666666667,0.7000000000000001,Óscar Rodríguez,Óscar,Rodríguez,353783,Midfielder,825,Leganes,2019/2020,True,Spain,LaLiga,6.806666666666666,1925,6,1,73.7215909090909,84,Spain
187,76,32,False,True,Spain,19,2,0,0,0,0.31578947368421,1.947368421052631,Maxime Gonalons,Maxime,Gonalons,79560,Midfielder,925,Granada,2019/2020,True,Spain,LaLiga,6.805263157894735,1509,7,0,81.13207547169812,85,France
170,65,28,False,True,Spain,31,5,1,5,2,0.8709677419354831,0.41935483870967705,Iker Muniain,Iker,Muniain,77922,Forward,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,6.798709677419355,2394,4,1,86.57453109575518,86,Spain
